Timestamp,Transcript
0:24:20,"Highlighting ""Elian Karel"""
0:24:22,User changed the topic: (Looking for information on Elian Karel) [bottom-up]
0:24:24,"Searching for ""Karel"""
0:24:34,"""let's see if any result is in 2009"""
0:24:43,"Picking a document in title ""Aug 2008. THE WHO IS THE DEMONSTRATORS"""
0:25:27,Still reading the document
0:26:18,Still reading the document
0:26:49,"""He probably died in jail"""
0:27:10,Still reading the document
0:27:23,"Adding more notes in Note 1: ""Elias incarcerated and died sometimes after"""
0:28:08,"Picking a document in title ""March 2009. THE COLLECTION POK DRAWS THOUSANDS OF VERDEDIGERS"""
0:28:08,User changed the topic: (Why did the Julian Vann die?) [bottom-up]
0:28:47,"Adding more notes in Note 1: ""???, 1998 - Juliana Vann dies because of water contamination"""
0:29:05,Still reading the document
0:29:13,"""So this girl died and people started protesting"""
0:29:33,"Highlighting ""The hospital has had difficulty which maintains its infrastructure. in spite of the vast restoration"""
0:30:15,"Highlighting ""Karel took over control POK of Henk Bodrogi. of which bad health forced him of the position"""
0:30:51,"Picking a document in title ""March 2009. POK RALLY DRAWS THOUSANDS OF SUPPORTERS"""
0:31:30,Still reading the document
0:32:09,"Adding more notes to the Note 1: ""March 2009 - Rally for Julianna Van, demanding accounting for tax incentives where is the improvement???"""
0:33:35,Looking through titles
0:33:38,"Picking a random document from middle right in title ""Aug 1998. TEN-YEAR OLD ELODIS GIRL DIES OF POISONING"""
0:33:47,"Picking an old document in title ""Aug 2008. THE WHO IS THE DEMONSTRATORS"""
0:34:04,Making connection between two last documents
0:34:27,"""ok. died on 1998"""
0:34:30,User changed the topic: (The death of Elian Karel) [bottom-up]
0:34:35,"Picking a document from last search results in title ""Jun 2010. IN THE MEMORY: The DEATH Of ELIAN KAREL. ONE YEAR AFTERWARDS"""
0:34:38,"""There we go. here is something about his death"""
0:34:45,"""Let see if I can find something better that this"""
0:34:49,"Picking a document in title ""June 2010. Protest of POK to the registered offices of police force of Abila"""
0:34:57,"Picking a document in title ""June 2009. Blog posts: ELIAN KAREL DEAD IN KRONOS JAIL"""
0:35:08,"""June 2009 he is dead in jail"""
